2016-08-13 12:45:57,351 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.company:01_Aop:0.0.1-SNAPSHOT @ /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/pom.xml.
2016-08-13 12:45:57,869 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /01_Aop/src/main/java
2016-08-13 12:45:57,870 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /01_Aop/src/main/resources
2016-08-13 12:45:57,871 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /01_Aop/src/test/java
2016-08-13 12:45:58,072 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2016-08-13 12:46:00,241 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:46:00,263 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-08-13 12:46:00,283 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:46:00,284 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:47:04,084 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:47:04,090 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-08-13 12:47:04,091 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:47:04,092 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:47:08,199 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:47:08,201 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-13 12:47:08,202 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:47:08,203 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:47:43,851 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:47:43,852 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-13 12:47:43,854 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:47:43,855 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:49:06,759 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.company:01_Aop:0.0.1-SNAPSHOT @ /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/pom.xml.
2016-08-13 12:49:06,971 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:49:06,973 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-13 12:49:06,976 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:49:06,977 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:49:08,391 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:49:08,392 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-13 12:49:08,403 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:49:08,404 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:51:08,636 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:08,637 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-13 12:51:08,638 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:08,639 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:51:19,217 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:19,218 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-13 12:51:19,220 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:19,221 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:51:22,480 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:22,481 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-13 12:51:22,483 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:22,484 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
2016-08-13 12:51:25,719 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:25,720 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-08-13 12:51:25,721 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 12:51:25,721 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/guanho/Documents/git/pikachu987/TIL/spring/05_Aop/01_Aop/src/test/resources
